anio;variable;valor_GWh
2015;racionamiento_tension;0.0
2016;racionamiento_tension;0.0
2017;racionamiento_tension;0.0
2018;racionamiento_tension;0.0
2019;racionamiento_tension;0.0
1992;racionamiento_cortes;3.0
1993;racionamiento_cortes;14.0
1994;racionamiento_cortes;15.0
1995;racionamiento_cortes;14.0
1996;racionamiento_cortes;4.0
1997;racionamiento_cortes;8.0
1998;racionamiento_cortes;2.0
1999;racionamiento_cortes;14.0
2000;racionamiento_cortes;8.0
2001;racionamiento_cortes;8.0
2002;racionamiento_cortes;14.0
2003;racionamiento_cortes;0.0
2004;racionamiento_cortes;0.0
2005;racionamiento_cortes;0.0
2006;racionamiento_cortes;0.0
2007;racionamiento_cortes;0.0
2008;racionamiento_cortes;0.0
2009;racionamiento_cortes;0.0
2010;racionamiento_cortes;0.0
2011;racionamiento_cortes;0.0
2012;racionamiento_cortes;0.0
2013;racionamiento_cortes;0.0
2014;racionamiento_cortes;0.0
2015;racionamiento_cortes;0.0
2016;racionamiento_cortes;0.0
2017;racionamiento_cortes;0.0
2018;racionamiento_cortes;0.0
2019;racionamiento_cortes;0.0
1992;requerido_total;54179.0
1993;requerido_total;58505.2
1994;requerido_total;62499.7
1995;requerido_total;64706.1
1996;requerido_total;68755.8
1997;requerido_total;73781.9
1998;requerido_total;76491.7
1999;requerido_total;75890.6
2000;requerido_total;83758.0
2001;requerido_total;86015.4
2002;requerido_total;81348.4
2003;requerido_total;86442.4
2004;requerido_total;93285.9
2005;requerido_total;98160.1
2006;requerido_total;104627.0
2007;requerido_total;108482.0
2008;requerido_total;112382.2
2009;requerido_total;111333.1
2010;requerido_total;115734.5
2011;requerido_total;121216.1
2012;requerido_total;125804.4
2013;requerido_total;129819.6
2014;requerido_total;131204.9
2015;requerido_total;136857.1
2016;requerido_total;138069.6
2017;requerido_total;137198.6
2018;requerido_total;137825.1
2019;requerido_total;33700.7
1992;oferta_termica;24891.0
1993;oferta_termica;25877.0
1994;oferta_termica;25855.7
1995;oferta_termica;28933.1
1996;oferta_termica;35198.7
1997;oferta_termica;32433.3
1998;oferta_termica;34885.5
1999;oferta_termica;42441.2
2000;oferta_termica;43248.1
2001;oferta_termica;36509.8
2002;oferta_termica;32641.9
2003;oferta_termica;39465.9
2004;oferta_termica;49398.6
2005;oferta_termica;51350.9
2006;oferta_termica;53928.0
2007;oferta_termica;61012.0
2008;oferta_termica;66876.7
2009;oferta_termica;61386.1
2010;oferta_termica;66465.5
2011;oferta_termica;73572.6
2012;oferta_termica;82494.8
2013;oferta_termica;82953.2
2014;oferta_termica;83048.4
2015;oferta_termica;86340.0
2016;oferta_termica;90098.6
